ACS,Kills,Deaths,Assists,Difference,KAST,ADR,HS,FK,FD,Diff
248,36,28,16,8,81%,164,24%,3,0,3
248,47,39,8,8,68%,150,34%,8,5,3
248,36,21,8,15,78%,165,19%,8,5,3
248,58,35,3,23,72%,149,22%,15,11,4
249,59,54,13,5,66%,162,31%,13,9,4
249,48,34,10,14,75%,164,23%,4,2,2
249,15,14,7,1,89%,160,29%,1,1,0
249,19,13,4,6,71%,165,40%,4,0,4
249,56,57,9,-1,68%,159,36%,20,13,7
249,34,21,8,13,86%,170,20%,3,4,-1
249,30,23,10,7,74%,171,19%,4,6,-2
250,46,36,16,10,77%,149,20%,3,5,-2
250,36,21,5,15,79%,166,35%,5,2,3
250,37,26,13,11,82%,165,28%,2,4,-2
250,29,35,8,-6,76%,156,17%,7,10,-3
250,20,17,1,3,55%,162,39%,4,9,-5
250,36,32,7,4,62%,171,21%,7,5,2
250,22,15,6,7,83%,169,46%,1,1,0
250,52,33,16,19,74%,159,24%,10,3,7
250,91,87,23,4,67%,164,29%,27,24,3
250,58,44,10,14,70%,156,29%,11,6,5
250,43,34,19,9,71%,150,28%,7,1,6
250,50,43,21,7,76%,167,27%,13,7,6
251,40,28,9,12,73%,169,33%,12,3,9
251,37,20,12,17,83%,170,32%,3,3,0
251,42,29,2,13,72%,171,23%,7,1,6
251,35,25,24,10,79%,160,31%,5,1,4
251,39,23,15,16,77%,150,32%,2,3,-1
251,27,13,19,14,94%,162,31%,4,0,4
251,17,11,7,6,85%,174,22%,1,1,0
252,55,49,12,6,73%,163,27%,10,6,4
252,34,21,6,13,65%,171,15%,3,5,-2
252,34,31,16,3,74%,188,20%,3,6,-3
252,60,48,13,12,77%,169,30%,10,7,3
252,46,35,16,11,85%,173,44%,4,3,1
253,55,41,11,14,67%,156,25%,6,6,0
253,62,54,13,8,63%,160,34%,11,12,-1
253,98,68,41,30,79%,159,29%,10,6,4
253,29,14,14,15,90%,159,17%,3,2,1
253,28,15,20,13,87%,171,28%,3,0,3
253,50,41,22,9,85%,147,19%,12,6,6
253,34,29,4,5,64%,168,31%,4,3,1
254,59,46,24,13,76%,163,39%,4,2,2
254,44,31,16,13,71%,165,30%,6,2,4
254,70,52,4,18,64%,149,35%,11,12,-1
254,54,53,10,1,70%,157,31%,14,8,6
254,37,35,9,2,77%,169,26%,7,9,-2
255,42,31,8,11,73%,151,7%,9,8,1
255,57,45,18,12,72%,173,25%,10,7,3
255,34,32,7,2,74%,160,17%,10,4,6
255,35,24,6,11,74%,148,16%,8,4,4
255,39,29,9,10,76%,169,33%,10,4,6
255,29,13,16,16,91%,161,22%,4,0,4
255,39,25,14,14,76%,171,26%,3,4,-1
255,55,53,6,2,61%,157,28%,20,7,13
256,57,50,14,7,68%,170,29%,8,9,-1
256,20,10,6,10,75%,170,25%,1,1,0
256,36,33,11,3,65%,163,23%,10,9,1
256,49,37,12,12,73%,156,24%,6,7,-1
256,37,21,13,16,77%,159,29%,6,3,3
256,67,46,15,21,78%,163,23%,11,11,0
256,38,20,14,18,84%,158,26%,5,3,2
257,32,31,5,1,64%,156,27%,8,9,-1
257,19,15,3,4,65%,158,26%,7,1,6
257,38,22,17,16,85%,159,34%,2,2,0
257,36,25,8,11,82%,166,23%,6,4,2
257,51,43,29,8,75%,167,23%,8,2,6
257,53,45,26,8,75%,176,31%,6,4,2
257,37,29,5,8,79%,161,36%,9,1,8
257,17,19,10,-2,67%,185,21%,2,2,0
257,37,28,9,9,74%,161,19%,9,3,6
257,45,43,35,2,89%,168,23%,7,4,3
258,44,28,15,16,75%,177,41%,2,3,-1
258,37,17,7,20,84%,165,32%,4,1,3
258,34,30,9,4,68%,175,20%,11,8,3
258,36,32,4,4,73%,164,39%,10,1,9
259,32,25,13,7,72%,170,33%,9,3,6
259,36,38,13,-2,71%,174,24%,11,6,5
259,25,23,5,2,77%,168,29%,4,3,1
259,36,34,7,2,68%,167,30%,7,4,3
259,43,21,17,22,82%,182,39%,3,1,2
259,36,32,10,4,70%,171,18%,5,4,1
259,84,59,20,25,70%,165,31%,18,9,9
259,37,22,15,15,79%,188,37%,2,1,1
259,48,31,11,17,75%,162,15%,9,7,2
259,29,19,9,10,87%,167,12%,4,1,3
260,63,43,17,20,79%,164,24%,15,9,6
260,42,33,16,9,80%,178,19%,5,6,-1
260,28,17,0,11,79%,171,37%,7,5,2
260,35,19,6,16,89%,148,33%,4,1,3
260,30,27,4,3,57%,164,30%,10,9,1
260,42,28,9,14,78%,170,31%,7,3,4
260,40,36,6,4,72%,169,26%,7,6,1
260,62,43,8,19,67%,164,31%,10,5,5
261,36,16,16,20,81%,170,28%,4,3,1
261,34,28,10,6,71%,163,20%,5,4,1
261,36,16,16,20,81%,170,28%,4,3,1
261,56,43,8,13,79%,155,23%,11,8,3
261,15,16,6,-1,65%,188,32%,1,1,0
261,49,47,10,2,69%,171,25%,12,13,-1
261,73,64,15,9,66%,180,26%,17,17,0
261,43,29,10,14,65%,165,28%,5,6,-1
261,20,10,9,10,90%,166,20%,5,0,5
262,24,16,3,8,73%,158,27%,5,1,4
262,44,43,5,1,73%,158,31%,11,8,3
262,16,17,11,-1,76%,183,26%,1,3,-2
262,26,15,4,11,79%,170,18%,3,1,2
263,51,36,6,15,65%,167,33%,9,9,0
263,55,37,22,18,76%,168,22%,9,3,6
263,59,43,14,16,73%,160,22%,5,3,2
263,33,16,8,17,80%,162,34%,7,5,2
263,61,53,13,8,74%,169,34%,9,6,3
263,55,37,10,18,77%,163,26%,15,7,8
263,40,29,5,11,76%,166,34%,14,7,7
263,54,30,8,24,85%,172,19%,8,1,7
264,60,48,9,12,78%,163,27%,12,6,6
264,109,81,29,28,74%,173,17%,7,8,-1
264,24,14,4,10,71%,173,35%,1,4,-3
264,19,16,7,3,82%,193,23%,2,3,-1
264,21,13,4,8,82%,183,32%,2,0,2
264,44,38,20,6,69%,180,19%,11,11,0
264,40,26,3,14,68%,170,22%,9,9,0
264,40,30,14,10,84%,184,22%,7,5,2
265,36,25,5,11,82%,164,21%,12,6,6
265,45,32,10,13,69%,167,26%,13,8,5
265,61,53,26,8,77%,180,22%,9,9,0
265,20,22,10,-2,77%,174,20%,9,5,4
265,37,23,11,14,82%,181,35%,3,2,1
265,61,53,13,8,69%,170,31%,17,7,10
266,48,31,9,17,73%,162,29%,12,9,3
266,19,13,3,6,68%,147,41%,1,1,0
266,34,21,16,13,82%,151,33%,5,0,5
266,19,9,5,10,78%,204,50%,0,1,-1
266,35,19,7,16,94%,180,37%,3,4,-1
266,37,29,11,8,78%,183,26%,4,3,1
266,42,25,7,17,70%,161,27%,6,4,2
267,55,36,9,19,71%,159,20%,12,5,7
267,56,40,8,16,71%,168,35%,14,11,3
267,32,30,8,2,73%,168,15%,6,6,0
268,41,30,10,11,73%,183,24%,11,4,7
268,16,16,3,0,83%,161,50%,6,1,5
268,43,28,3,15,71%,175,25%,12,8,4
268,58,50,8,8,72%,179,35%,16,11,5
268,61,57,10,4,65%,171,32%,16,12,4
268,42,28,7,14,68%,164,32%,6,2,4
269,109,88,21,21,75%,168,19%,23,18,5
269,36,29,15,7,78%,170,22%,7,3,4
269,66,55,11,11,69%,166,21%,16,12,4
269,13,12,1,1,80%,176,19%,1,0,1
269,65,43,8,22,70%,160,31%,17,11,6
270,19,15,8,4,76%,188,27%,0,0,0
270,38,30,13,8,71%,162,32%,4,2,2
270,42,32,6,10,80%,176,27%,9,4,5
270,37,27,4,10,66%,188,30%,5,8,-3
270,80,54,13,26,80%,161,27%,22,3,19
270,51,45,8,6,68%,172,43%,11,9,2
271,58,39,22,19,77%,188,28%,7,3,4
272,40,26,26,14,86%,184,30%,2,5,-3
272,66,49,15,17,76%,184,30%,9,8,1
272,36,23,5,13,74%,168,29%,11,5,6
272,33,20,8,13,86%,171,22%,4,1,3
272,42,31,15,11,76%,175,31%,4,5,-1
272,17,16,4,1,68%,174,23%,5,1,4
272,71,55,18,16,73%,182,24%,13,10,3
272,35,26,11,9,79%,159,21%,7,4,3
272,39,33,12,6,74%,171,19%,4,5,-1
273,33,21,13,12,83%,188,15%,8,3,5
273,36,27,8,9,79%,162,29%,6,5,1
273,61,46,17,15,74%,192,24%,11,8,3
273,38,19,9,19,79%,174,25%,10,3,7
274,41,30,13,11,84%,180,20%,1,1,0
274,67,55,21,12,75%,182,26%,7,6,1
274,34,22,11,12,83%,170,18%,9,3,6
275,40,24,11,16,78%,167,23%,4,3,1
275,52,41,9,11,76%,178,26%,12,6,6
275,35,19,12,16,75%,171,36%,5,5,0
275,54,36,12,18,69%,175,23%,11,10,1
276,42,25,16,17,83%,170,30%,3,3,0
276,36,17,6,19,81%,170,25%,2,1,1
276,59,51,12,8,72%,170,22%,13,7,6
276,66,45,13,21,74%,189,26%,5,7,-2
276,71,50,22,21,74%,174,20%,20,9,11
277,70,49,9,21,75%,169,26%,14,6,8
277,21,16,1,5,76%,180,34%,2,1,1
277,63,43,9,20,74%,183,32%,10,7,3
278,43,33,4,10,72%,183,25%,9,6,3
278,30,21,32,9,79%,166,27%,3,5,-2
278,70,54,26,16,79%,177,14%,8,3,5
278,34,31,11,3,74%,184,28%,6,3,3
278,41,33,11,8,77%,188,37%,15,3,12
278,21,16,0,5,68%,157,14%,8,3,5
279,41,27,6,14,78%,179,26%,5,3,2
280,48,31,10,17,76%,175,30%,8,3,5
280,41,32,10,9,72%,179,22%,9,8,1
280,75,41,27,34,86%,177,24%,8,6,2
280,38,29,1,9,63%,174,32%,9,10,-1
280,30,16,8,14,80%,177,31%,1,2,-1
280,40,26,20,14,88%,187,22%,2,3,-1
281,19,19,11,0,81%,193,19%,4,3,1
281,45,31,18,14,84%,185,36%,5,1,4
282,67,40,8,27,78%,182,27%,10,5,5
282,38,18,16,20,78%,179,22%,6,3,3
282,67,46,22,21,75%,195,36%,5,2,3
282,60,40,13,20,70%,178,22%,12,6,6
282,41,27,13,14,80%,181,30%,6,6,0
282,37,19,12,18,85%,179,21%,3,2,1
283,56,44,13,12,68%,185,26%,7,10,-3
283,63,42,7,21,77%,172,39%,15,11,4
283,40,28,6,12,76%,181,43%,5,4,1
283,42,32,7,10,78%,177,38%,7,6,1
283,62,45,9,17,69%,172,20%,20,9,11
283,63,40,7,23,71%,175,20%,18,6,12
284,37,23,15,14,86%,182,16%,3,2,1
284,38,19,10,19,83%,191,29%,4,4,0
284,37,27,9,10,82%,178,22%,8,7,1
284,33,29,6,4,74%,182,27%,8,4,4
284,61,40,19,21,82%,184,31%,7,3,4
285,43,21,15,22,86%,182,35%,7,1,6
285,35,30,4,5,74%,167,29%,12,3,9
285,76,56,19,20,70%,173,31%,11,7,4
285,67,43,11,24,81%,173,23%,29,6,23
285,44,32,9,12,77%,180,32%,9,4,5
286,33,30,5,3,63%,181,32%,10,8,2
286,18,11,5,7,78%,193,20%,4,3,1
286,34,26,4,8,80%,167,35%,5,0,5
286,34,22,10,12,75%,174,20%,10,3,7
287,27,20,10,7,77%,187,26%,4,6,-2
287,23,18,2,5,57%,182,29%,3,7,-4
287,40,23,6,17,84%,181,21%,6,4,2
288,43,27,5,16,90%,190,40%,3,2,1
288,67,43,11,24,75%,188,23%,18,12,6
288,41,23,12,18,84%,185,36%,4,3,1
288,47,33,6,14,81%,170,24%,13,5,8
289,22,21,4,1,58%,181,34%,8,6,2
290,45,27,10,18,79%,193,34%,8,7,1
290,41,38,9,3,65%,172,33%,8,11,-3
290,39,24,18,15,82%,209,28%,5,4,1
291,78,50,13,28,73%,174,22%,11,5,6
291,46,29,9,17,75%,184,23%,6,7,-1
291,39,20,15,19,81%,194,33%,2,0,2
291,37,19,17,18,70%,185,18%,5,3,2
291,44,24,23,20,83%,193,26%,8,2,6
292,37,23,5,14,81%,181,23%,10,7,3
292,50,28,3,22,78%,183,30%,11,3,8
292,41,32,11,9,80%,176,47%,8,1,7
292,70,53,12,17,77%,186,26%,14,10,4
293,46,27,6,19,70%,184,34%,10,5,5
294,23,15,5,8,77%,173,28%,9,3,6
295,20,17,10,3,86%,195,30%,2,1,1
295,41,24,9,17,84%,194,23%,5,1,4
296,44,29,9,15,70%,185,22%,9,7,2
296,69,41,8,28,77%,184,29%,12,10,2
296,14,7,7,7,100%,186,31%,4,1,3
297,39,33,8,6,64%,171,13%,6,6,0
298,22,15,4,7,90%,186,42%,2,0,2
298,38,16,9,22,80%,191,26%,4,2,2
299,46,28,12,18,75%,197,25%,9,6,3
299,47,32,8,15,62%,186,53%,7,7,0
299,23,9,1,14,85%,181,16%,2,2,0
300,38,27,5,11,78%,184,24%,9,6,3
300,40,22,15,18,95%,188,18%,8,1,7
300,43,34,16,9,82%,197,23%,9,7,2
301,40,24,4,16,78%,169,19%,9,5,4
301,35,15,8,20,90%,191,24%,5,4,1
302,58,42,16,16,78%,193,34%,16,5,11
302,76,48,12,28,72%,183,24%,13,9,4
303,23,18,12,5,79%,205,29%,3,1,2
304,43,28,23,15,81%,199,28%,9,4,5
305,37,19,15,18,86%,196,43%,5,2,3
305,38,10,7,28,94%,206,30%,6,1,5
306,38,22,7,16,78%,192,27%,9,4,5
306,59,33,4,26,80%,187,26%,17,5,12
307,45,21,11,24,74%,190,36%,4,5,-1
307,44,23,19,21,85%,203,29%,5,0,5
310,34,21,23,13,81%,197,34%,3,1,2
311,34,20,10,14,80%,213,24%,7,3,4
313,46,32,16,14,86%,192,23%,7,4,3
314,40,29,8,11,71%,197,27%,15,9,6
314,57,36,10,21,80%,197,27%,11,6,5
314,47,29,10,18,72%,208,24%,10,3,7
316,43,24,7,19,88%,214,22%,6,5,1
318,52,26,4,26,70%,193,28%,11,6,5
318,52,26,4,26,70%,193,28%,11,6,5
320,46,29,6,17,80%,197,27%,9,2,7
320,49,24,25,25,84%,204,24%,8,3,5
321,46,33,8,13,74%,205,26%,9,3,6
324,46,36,4,10,68%,192,30%,6,8,-2
324,81,45,16,36,81%,206,32%,14,7,7
324,18,7,7,11,88%,198,33%,1,1,0
325,44,21,8,23,81%,212,38%,9,3,6
325,49,30,3,19,73%,201,24%,6,5,1
326,44,17,8,27,86%,199,17%,7,2,5
328,70,36,21,34,85%,195,19%,11,7,4
331,46,20,15,26,84%,208,19%,5,0,5
331,60,29,16,31,86%,195,29%,8,2,6
332,24,17,4,7,71%,228,44%,3,2,1
332,41,19,13,22,86%,221,22%,9,2,7
339,25,16,3,9,71%,218,20%,3,4,-1
342,36,25,3,11,63%,196,23%,11,6,5
343,93,57,13,36,74%,222,38%,15,10,5
351,49,22,7,27,86%,224,26%,8,2,6
351,21,7,4,14,93%,235,31%,5,2,3
354,50,21,14,29,84%,247,24%,9,6,3
356,40,14,10,26,81%,217,24%,6,4,2
362,53,27,6,26,93%,220,45%,10,0,10
365,47,20,9,27,84%,213,17%,12,5,7
367,50,28,10,22,79%,226,32%,14,6,8
376,51,20,5,31,79%,236,22%,9,2,7
48,2,14,2,-12,27%,30,25%,1,2,-1
57,3,15,2,-12,44%,35,25%,0,3,-3
61,4,30,6,-26,32%,51,12%,2,7,-5
85,5,15,2,-10,47%,67,27%,0,5,-5
85,5,17,4,-12,47%,57,9%,0,2,-2
86,10,31,5,-21,37%,64,33%,0,10,-10
86,6,10,5,-4,72%,59,13%,1,2,-1
86,7,19,8,-12,65%,57,13%,2,5,-3
87,4,16,7,-12,56%,61,21%,0,2,-2
90,11,29,4,-18,43%,49,39%,1,4,-3
90,8,30,5,-22,40%,71,26%,3,7,-4
90,4,14,1,-10,27%,65,29%,0,4,-4
91,4,17,6,-13,44%,59,20%,1,6,-5
95,11,26,11,-15,59%,70,22%,1,2,-1
95,6,14,1,-8,50%,63,5%,0,4,-4
97,10,27,6,-17,45%,64,25%,0,5,-5
98,17,40,18,-23,63%,67,31%,3,7,-4
98,11,28,13,-17,71%,64,20%,0,4,-4
98,6,15,2,-9,47%,67,26%,3,2,1
100,11,30,7,-19,53%,67,20%,0,6,-6
101,6,16,1,-10,33%,59,24%,0,4,-4
103,7,14,3,-7,58%,71,30%,0,4,-4
103,7,16,14,-9,82%,72,15%,0,0,0
104,14,31,5,-17,60%,66,21%,2,5,-3
104,6,17,2,-11,59%,72,29%,0,2,-2
105,5,16,6,-11,50%,74,27%,1,1,0
109,6,15,3,-9,41%,65,14%,1,1,0
110,17,31,10,-14,57%,74,40%,1,5,-4
111,18,40,14,-22,53%,75,20%,5,3,2
111,14,29,6,-15,60%,78,25%,2,5,-3
111,22,40,10,-18,51%,78,34%,1,4,-3
112,9,17,5,-8,67%,84,26%,0,2,-2
114,13,37,6,-24,46%,87,28%,1,9,-8
114,8,15,5,-7,59%,65,14%,0,4,-4
115,11,17,11,-6,77%,78,33%,1,2,-1
117,18,35,9,-17,57%,93,19%,1,7,-6
117,9,15,2,-6,64%,83,19%,0,3,-3
117,16,26,12,-10,60%,78,21%,2,2,0
118,21,28,11,-7,72%,91,20%,0,4,-4
119,15,31,6,-16,51%,77,45%,1,3,-2
119,7,10,6,-3,76%,89,10%,0,1,-1
119,12,28,8,-16,52%,75,24%,1,5,-4
120,14,32,13,-18,50%,87,10%,0,3,-3
120,26,43,16,-17,63%,82,26%,3,6,-3
120,12,29,8,-17,67%,76,31%,3,6,-3
121,23,42,14,-19,56%,94,17%,3,5,-2
121,11,27,3,-16,50%,90,26%,0,1,-1
122,16,33,9,-17,63%,79,14%,1,5,-4
122,30,44,18,-14,64%,83,20%,2,2,0
122,6,14,4,-8,69%,72,13%,1,0,1
123,9,16,7,-7,62%,84,25%,0,2,-2
123,21,39,23,-18,72%,84,12%,2,2,0
123,6,13,2,-7,44%,87,19%,0,2,-2
123,8,14,12,-6,67%,75,17%,2,4,-2
124,15,26,6,-11,52%,88,25%,0,2,-2
124,5,19,4,-14,47%,91,9%,1,1,0
124,18,34,8,-16,59%,80,18%,1,3,-2
125,15,30,7,-15,56%,88,19%,2,3,-1
125,15,31,9,-16,58%,89,29%,1,1,0
125,21,31,9,-10,49%,88,18%,0,1,-1
126,19,29,12,-10,73%,96,26%,2,0,2
127,7,17,12,-10,55%,79,50%,0,2,-2
127,13,30,6,-17,48%,93,20%,0,5,-5
127,19,34,7,-15,56%,87,31%,3,4,-1
127,7,15,2,-8,41%,79,53%,1,7,-6
127,8,15,2,-7,38%,64,12%,1,1,0
128,6,16,5,-10,47%,96,20%,0,4,-4
129,19,20,9,-1,84%,96,25%,2,2,0
129,14,26,4,-12,50%,98,29%,1,2,-1
129,6,15,3,-9,69%,93,30%,0,2,-2
130,17,18,10,-1,81%,84,16%,0,2,-2
130,7,12,5,-5,75%,81,18%,0,1,-1
131,21,27,14,-6,66%,85,18%,3,2,1
131,14,29,5,-15,55%,82,20%,2,2,0
132,18,34,12,-16,65%,89,28%,1,4,-3
132,14,30,7,-16,46%,100,14%,1,3,-2
132,25,45,18,-20,55%,85,30%,5,7,-2
132,8,11,8,-3,68%,102,28%,0,3,-3
133,9,17,5,-8,67%,95,23%,1,2,-1
133,7,15,1,-8,50%,88,35%,2,3,-1
133,21,27,8,-6,63%,76,42%,4,2,2
134,7,10,8,-3,76%,95,18%,0,1,-1
134,6,15,4,-9,41%,82,15%,2,1,1
134,7,14,1,-7,40%,103,22%,0,0,0
135,8,12,11,-4,67%,105,15%,0,0,0
135,18,21,14,-3,81%,83,23%,0,0,0
135,21,23,14,-2,80%,79,26%,0,2,-2
135,19,28,7,-9,61%,93,21%,4,5,-1
135,18,31,10,-13,68%,104,14%,3,3,0
135,7,11,6,-4,81%,113,23%,1,3,-2
135,11,18,12,-7,83%,88,21%,1,2,-1
136,28,49,14,-21,55%,95,12%,3,5,-2
136,19,23,10,-4,73%,82,17%,3,5,-2
136,7,11,15,-4,84%,104,22%,1,1,0
136,18,29,2,-11,54%,87,40%,5,4,1
136,19,30,17,-11,76%,104,21%,2,5,-3
136,11,14,6,-3,59%,82,30%,1,2,-1
136,9,17,5,-8,57%,94,39%,2,2,0
137,20,38,12,-18,57%,98,16%,2,5,-3
137,16,31,12,-15,57%,114,35%,2,4,-2
138,17,28,4,-11,47%,84,29%,2,3,-1
138,11,18,5,-7,70%,102,21%,3,6,-3
139,15,30,7,-15,50%,111,21%,2,8,-6
139,10,10,6,0,74%,102,22%,1,0,1
139,31,41,23,-10,63%,96,18%,2,8,-6
139,11,33,18,-22,50%,101,18%,2,2,0
139,9,15,2,-6,58%,86,20%,0,2,-2
140,20,33,16,-13,71%,89,27%,1,4,-3
140,49,48,30,1,77%,84,15%,2,9,-7
140,20,33,3,-13,49%,102,18%,0,5,-5
140,20,32,1,-12,51%,90,38%,4,10,-6
140,25,45,17,-20,63%,93,31%,4,6,-2
141,19,33,6,-14,45%,105,45%,4,4,0
142,20,31,7,-11,63%,96,17%,2,2,0
142,13,12,3,1,71%,91,34%,0,3,-3
142,30,43,12,-13,57%,93,20%,3,2,1
142,7,9,5,-2,75%,91,18%,2,1,1
142,21,33,6,-12,59%,109,41%,2,10,-8
143,15,31,12,-16,70%,108,20%,2,3,-1
143,26,34,15,-8,62%,100,26%,2,2,0
143,15,28,4,-13,50%,107,36%,4,12,-8
143,27,38,15,-11,68%,97,25%,2,7,-5
143,27,41,9,-14,56%,103,24%,2,1,1
144,30,42,16,-12,65%,96,17%,2,5,-3
144,20,29,5,-9,63%,99,24%,5,1,4
144,9,10,8,-1,76%,103,14%,0,0,0
144,16,29,2,-13,42%,108,26%,3,9,-6
144,11,17,2,-6,59%,93,19%,0,4,-4
145,32,46,16,-14,67%,101,34%,5,5,0
145,15,14,3,1,69%,96,38%,1,1,0
145,9,13,0,-4,63%,101,19%,3,2,1
146,19,30,5,-11,49%,108,27%,2,6,-4
146,33,45,19,-12,63%,101,11%,3,11,-8
146,14,16,9,-2,69%,93,24%,1,2,-1
146,25,29,4,-4,73%,99,35%,2,7,-5
146,21,37,7,-16,46%,88,17%,4,14,-10
146,24,31,9,-7,74%,105,28%,1,3,-2
146,12,18,5,-6,62%,99,23%,0,2,-2
147,17,31,5,-14,53%,96,28%,5,7,-2
147,35,47,17,-12,68%,94,29%,3,9,-6
147,36,49,22,-13,69%,104,24%,2,6,-4
147,17,32,6,-15,58%,104,31%,2,12,-10
147,21,23,15,-2,64%,100,23%,2,1,1
147,23,27,14,-4,74%,97,26%,2,3,-1
147,24,37,9,-13,68%,102,11%,2,7,-5
148,33,49,15,-16,63%,103,36%,6,8,-2
148,20,27,9,-7,58%,93,21%,2,3,-1
148,7,15,4,-8,71%,103,23%,0,0,0
148,25,29,9,-4,70%,104,35%,5,4,1
148,15,26,5,-11,58%,87,22%,2,2,0
148,11,20,3,-9,48%,103,18%,0,5,-5
148,19,33,18,-14,59%,95,23%,3,4,-1
148,34,40,24,-6,68%,99,34%,3,1,2
148,7,14,5,-7,44%,111,24%,1,1,0
148,16,17,3,-1,65%,115,22%,4,6,-2
149,20,25,15,-5,83%,107,32%,0,3,-3
149,19,30,8,-11,63%,97,14%,3,3,0
149,17,23,12,-6,76%,103,15%,2,5,-3
149,9,16,5,-7,63%,115,15%,3,5,-2
149,16,30,9,-14,60%,110,19%,2,3,-1
149,35,46,20,-11,59%,99,33%,4,7,-3
149,11,17,6,-6,65%,110,22%,1,3,-2
150,40,50,22,-10,74%,96,17%,5,3,2
150,30,37,19,-7,65%,100,16%,2,5,-3
150,31,50,14,-19,66%,103,24%,4,4,0
150,28,47,5,-19,60%,112,29%,6,5,1
150,19,36,6,-17,60%,95,20%,4,6,-2
150,19,23,8,-4,74%,107,22%,5,5,0
150,21,33,4,-12,52%,99,24%,2,2,0
150,22,32,4,-10,59%,97,24%,3,6,-3
151,24,24,4,0,63%,95,36%,3,7,-4
151,16,29,3,-13,48%,91,26%,2,5,-3
152,28,42,5,-14,58%,105,24%,2,3,-1
152,9,14,4,-5,53%,99,18%,1,6,-5
152,21,21,7,0,76%,112,34%,3,1,2
152,10,17,5,-7,73%,100,17%,2,4,-2
153,21,35,8,-14,44%,99,32%,3,10,-7
153,26,26,20,0,82%,106,13%,0,5,-5
153,32,41,26,-9,72%,103,17%,3,4,-1
153,34,50,20,-16,67%,93,21%,4,5,-1
153,9,18,3,-9,53%,99,23%,1,7,-6
153,19,19,12,0,85%,110,29%,1,3,-2
153,18,29,2,-11,55%,93,26%,4,3,1
153,19,30,8,-11,71%,102,12%,6,7,-1
154,18,36,7,-18,61%,100,23%,1,8,-7
154,33,46,18,-13,69%,109,17%,5,7,-2
154,9,18,2,-9,42%,110,37%,1,3,-2
154,8,16,6,-8,53%,105,26%,0,4,-4
154,16,28,4,-12,53%,117,42%,5,2,3
154,29,44,21,-15,67%,97,22%,3,2,1
154,11,15,10,-4,71%,97,18%,2,3,-1
155,22,24,17,-2,85%,99,31%,0,0,0
155,22,35,13,-13,65%,103,26%,1,4,-3
155,28,26,10,2,77%,100,33%,5,2,3
155,18,27,9,-9,67%,98,14%,1,4,-3
155,16,30,6,-14,52%,100,24%,4,5,-1
155,19,30,8,-11,59%,113,25%,1,8,-7
155,8,13,2,-5,63%,107,18%,3,2,1
155,26,34,18,-8,70%,98,28%,1,3,-2
156,34,32,13,2,86%,95,19%,2,3,-1
156,23,24,17,-1,76%,110,15%,2,3,-1
156,8,15,4,-7,65%,102,25%,2,5,-3
156,32,47,10,-15,57%,102,28%,4,8,-4
157,11,19,9,-8,74%,108,16%,1,2,-1
157,22,17,16,5,77%,100,25%,0,0,0
157,29,34,16,-5,62%,106,24%,0,3,-3
157,18,16,13,2,82%,103,21%,3,0,3
157,27,28,4,-1,61%,98,31%,4,5,-1
157,29,42,8,-13,63%,107,24%,6,7,-1
157,9,14,2,-5,50%,97,21%,0,4,-4
158,34,45,15,-11,61%,102,25%,6,7,-1
158,23,26,14,-3,64%,109,43%,3,2,1
158,12,18,4,-6,71%,105,21%,0,2,-2
158,38,49,25,-11,77%,105,21%,7,2,5
158,12,19,3,-7,63%,98,15%,2,5,-3
159,46,57,26,-11,77%,106,23%,2,4,-2
159,34,50,15,-16,65%,108,17%,3,4,-1
159,41,52,15,-11,61%,102,20%,6,13,-7
159,17,27,5,-10,62%,109,26%,3,4,-1
159,9,16,2,-7,56%,92,26%,1,4,-3
159,22,36,4,-14,48%,110,20%,5,5,0
159,26,46,11,-20,63%,104,23%,2,5,-3
159,24,30,18,-6,73%,104,27%,1,2,-1
159,14,21,10,-7,69%,103,12%,2,1,1
160,51,55,16,-4,71%,114,27%,11,13,-2
160,43,56,20,-13,66%,109,28%,6,13,-7
160,38,49,16,-11,79%,110,28%,4,5,-1
160,18,28,1,-10,55%,98,37%,3,0,3
160,20,28,2,-8,69%,103,27%,6,3,3
160,23,32,9,-9,66%,118,21%,5,5,0
160,14,18,7,-4,65%,112,19%,2,1,1
160,11,8,4,3,74%,106,24%,2,2,0
160,7,14,4,-7,69%,105,29%,0,1,-1
161,26,27,13,-1,70%,110,19%,0,2,-2
161,34,42,22,-8,69%,96,39%,5,6,-1
161,34,39,19,-5,64%,110,21%,4,9,-5
161,10,17,4,-7,50%,106,27%,2,3,-1
161,10,14,2,-4,63%,107,33%,1,2,-1
161,30,35,9,-5,53%,109,41%,1,5,-4
162,9,18,6,-9,63%,114,21%,0,2,-2
162,29,33,17,-4,78%,111,25%,5,5,0
162,20,30,7,-10,58%,107,37%,1,6,-5
162,19,26,3,-7,65%,111,31%,1,2,-1
162,21,33,24,-12,73%,106,18%,1,4,-3
162,7,13,3,-6,73%,118,17%,0,1,-1
163,20,32,9,-12,68%,106,35%,1,4,-3
163,35,31,11,4,65%,110,19%,2,2,0
163,22,33,6,-11,50%,109,24%,4,4,0
163,19,29,6,-10,61%,107,35%,2,4,-2
163,34,44,21,-10,67%,109,29%,1,3,-2
163,26,21,17,5,83%,119,31%,1,0,1
163,33,45,10,-12,54%,113,36%,4,6,-2
163,27,35,13,-8,58%,105,24%,7,7,0
163,29,28,9,1,72%,102,21%,2,2,0
